高中英语单词表
chemical  a.化学的，用化学方法得到的 n.化学制品 
cheese  n．奶酪； 干酪 
cheerful  a.欢乐的，高兴的；使人感到愉快的 
cheer  vt.使高兴，使鼓舞 vi./n.欢呼，喝彩，振奋 
cheek  n.面颊，脸蛋；无耻的行为 vt.粗鲁地向…讲 
check  vt./n.检查，核对；阻止，控制；支票；账单 
cheat  vt.欺骗，骗取 vi.行骗，作弊 n.欺骗；骗子 
cheaply  ad.廉价地；粗俗地 
cheap  a.便宜的；劣质的；虚伪的 ad.便宜地 
chat  n.／vi.聊天，闲谈 
chart  n.图表；航海图；航行图 vt.绘图表，制图表 
charge  n.费用；管理vt.要价；指控vi.收费；冲锋 
character  n.个性，品质；特性；人物；字母，书写符号 
chapter  n.a mai division of a book 章；回，篇 
channel  n.频道；航道；渠道 vt.通过…获得，传送 
change  n.变化；零钱 vt.改变；更换 vi.变化；更换 
chance  vi.碰巧，偶然发生 n.机会，可能性；偶然性 
chalk  vt.用粉笔写或画 n.白垩；粉笔 
chairman  n.主席，(会员会，部门等的)领导人 
chair  n.椅子；(会议的)主席 vt.当…的主席，主持 
chain  n.链，链条；一连串 vt.(用链条)拴住，束缚 
certainly  ad..一定；无疑地 .是的；当然；好 
certain  a.确实的；无疑的；肯定的；必然的；某一 
century  n.世纪，百年；一百个 
centre  n.中心，中央，中间 vt.集中 vi.以..为中心 
central  a.中心的，中央的；主要的，起支配作用的 
centimetre  *n.公分；厘米 
centigrade  n./a.摄氏温度计(的)；百分度(的) 
cent  n.分，分币；(作单位的)百 
celebration  n.庆祝会；典礼，宗教仪式 
celebrate  vt.庆祝；颂扬，赞美vi.庆祝，过节 
ceiling  n.天花板；(规定价格、工资等的)最高限额 
cave  n.山洞，洞穴vi.(in)塌落，倒坍 
cause  n.原因，理由，缘故；事业 vt.使产生，引起 
cattle  n.(pl.)牲口(总称，尤指牛) 
catch  vt.捕捉；赶上（车）；染上（病） n.捕获物 
cat  电子计算机横断层扫描 
castor  *n.蓖麻 
castle  n.城堡；(国际象棋中的)车 
cast  v.投掷；铸造；投(票) n.铸件；模子；石膏 
cash  vt.兑换成现钱，付现金 n.现金，现款 
case  n.事实，情况；病例；案件，案例；盒(箱)子 
carve  vt.切，把…切碎(或切成片)；雕，刻 
cartoon  n.卡通片，动画片；(报刊上的)漫画，连环画 
cart  n.二轮马车，手推车 vt.用车运送；载运 
carry  vt.运，送，搬，拿，抱，背；传播，输送 
carrot  n.红萝卜 
carriage  n.马车；(铁路)客车车厢；运输，运费 
carpet  n.地毯，像地毯般的一层东西 
carol  n.欢乐或赞美之歌，(尤指)圣诞颂歌 
carelessness  n.粗心；漫不经心 
careless  n.粗心的，疏忽的；无忧无虑的，无烦恼的 
carefully  adv.仔细地，聚精会神地 
careful  a.当心的，小心的，仔细的 
care  n. 小心；关怀，照料 v.(about)关心，介意 
cardigan  n.卡迪根式开襟毛线衣 
card  n.卡，卡片，名片；纸片；纸牌，纸牌游戏 
car  n.汽车，车辆，车；(火车)车厢 
captain  n.首领，队长；船长；陆军上尉，海军上校 
capital  n.首都；大写；资本 a.大写的；可判死刑的 
cap  n.便帽，军帽；盖，罩，套 v.覆盖于…顶端 
can't  v.can not 的缩写 
candy  n.糖果；砂糖结晶 
candle  n.蜡烛；烛形物；烛光 
cancer  n.癌(通常为不可数名词) 
canal  n.运河，河渠；动植物体内的管道 
Canadian  a.加拿大的；加拿大人的 n.加拿大人 
Canada  n.加拿大[北美洲] 
can  aux.v.能；可以 n.罐头；容器 vt.把…装罐 
camp  n.野营，营地 n.野营，营地，帐篷 v.宿营 
camera  n.照相机，摄影机，摄像机 
camel  n．骆驼 
calorie  n.卡路里(食物所产生的热量或能量单位) 
calm  a.(天气等)静的；镇静的 n.平静 v.(使)平静 
call  vt.叫，喊；打电话 vi.叫；访问 n.叫；号召 
cake  n.饼，糕，蛋糕；扁平的块状物 
cage  n.笼子，鸟笼 v.关入笼中 
cafe  n.餐馆；咖啡馆；酒吧 
cabbage  n.洋白菜，卷心菜，甘蓝 
CAAC  中国民航 
bye-bye  interj.再会；回头见 
by  prep.被；凭借；经由；由于ad.在近旁；经过 
buy  vt.买，买得；向…行贿，收买vi.购买东西 
button  n.扣子，电钮，按钮 vt.&vi.扣上(扣子) 
butter  n.黄油；奶油 v.涂黄油于...上 
butcher  n.屠夫；刽子手 vt.屠宰；残杀，滥杀 
but  conj.但是 prep.除...以外 ad.只，才，仅仅 
busy  a.忙，忙碌的；热闹的，繁忙的；(电话)占线 
business  n.生意(不可数)；商店；工商企业(可数) 
Bush House  *布什大厦(BBC办公楼) 
bush  n.灌木，灌木丛，矮树 
bus  n.公共汽车，总线，信息通路 
bury  vt.埋葬，葬；掩埋，埋藏，掩藏 
burst  vi./n.爆炸，破裂 vi.(into)突然发生(发作) 
burn  v.燃烧，烧着；烧毁；灼伤 n.烧伤，灼伤 
burial  n.安葬，埋葬，埋藏 
building  n.建筑(物)，房屋，大楼 [同]structure 
builder  n.建筑工人，建立者 
build  vt.建造，建筑；建设，建立 vi.增大，增强 
bucket  n.水桶，一桶之量，吊桶 
